"time_s","joint_state","observability","p1_movement_intensity","p1_active_persistence","p1_spatial_range","p1_initiative_rate","p1_response_availability","p1_linked_participation","p2_movement_intensity","p2_active_persistence","p2_spatial_range","p2_initiative_rate","p2_response_availability","p2_linked_participation","activation_match","response_reciprocity","mutual_activity","distance_from_start","distance_trend","effective_opportunity","target_matched_exposure","response_conversion","support_cost","joint_trainability","mutual_workable_zone","reciprocity","co_regulation","role_fluidity","tempo_coordination","relation_drift","morphology_overlap_proxy","stage_key","session_id","stage_id","participant_1","participant_2","state_id","posterior_confidence","posterior_entropy","p1_to_p2_predictive_support_live","p2_to_p1_predictive_support_live","directional_support_symmetry_live","mutual_comfort_state","distance_to_dual_mic_anchor_s","dual_mic_anchor_support_500ms"
"13.013","0.0","0.9167","0.4197","0.5833","0.5664","0.0","0.0","0.5714","0.6889","0.75","1.0","0.4762","","0.6667","0.8333","","0.3636","0.1882","0.0231","0.3333","","0.0","0.4576","0.3657","0.4454","","0.8761","0.8333","0.691","0.0543","0.6088","G01-S1-P01-P02-A","G01-S1-P01-P02","A","P01","P02","p2_activation_lead","0.7185","0.3989","","","","0.449996","3.8869999999999987","0.0"
"14.014","","0.9167","0.4223","0.5","0.5514","0.0","0.0","0.6667","0.7441","0.8571","1.0","0.5556","","0.6667","0.6429","","0.3636","0.2216","0.0481","0.3333","","0.0","0.453","0.3076","0.4102","","0.7978","0.0","0.6014","0.064","0.585","G01-S1-P01-P02-A","G01-S1-P01-P02","A","P01","P02","high_load_misalignment","0.9993","0.0032","","","","0.32620400000000005","2.8859999999999992","0.0"
"15.015","0.0","0.9167","0.4108","0.4167","0.5514","0.0","","0.6","0.7106","0.7143","1.0","0.0","","0.6","0.7024","","0.2727","0.267","0.0622","0.25","","","0.4677","0.4469","0.4877","","0.7473","0.0","0.5741","0.0771","0.5438","G01-S1-P01-P02-A","G01-S1-P01-P02","A","P01","P02","high_load_misalignment","0.9486","0.1061","","","","0.378788","1.884999999999998","0.0"
"16.016","10.0","0.9167","0.4443","0.4167","0.5142","0.3182","","0.4","0.661","0.5714","1.0","0.0","","0.5","0.8452","","0.1818","0.2348","0.0722","0.1667","","","0.5031","0.4707","0.4836","","0.9194","0.8333","0.6488","0.0678","0.4818","G01-S1-P01-P02-A","G01-S1-P01-P02","A","P01","P02","mixed_transition_2","0.6303","0.3395","","","","0.5355416","0.8840000000000003","0.0"
"17.017","11.0","0.9167","0.4642","0.4167","0.1288","0.3182","","0.4","0.6294","0.5714","0.9966","0.5556","","0.5","0.8452","","0.1818","0.2109","0.0756","0.1667","","","0.4235","0.4707","0.5209","","0.9028","1.0","0.6433","0.0609","0.4818","G01-S1-P01-P02-A","G01-S1-P01-P02","A","P01","P02","mixed_transition_2","0.9843","0.0417","","","","0.5834096","0.11700000000000088","1.0"
"18.018","10.0","0.9167","0.4936","0.4167","0.1168","0.3182","","0.2","0.2389","0.4286","0.0316","0.5556","1.0","0.3333","0.9881","","0.0909","0.1768","0.0622","0.0833","","1.0","0.1937","0.6353","0.7157","","0.6922","1.0","0.5904","0.051","0.4031","G01-S1-P01-P02-A","G01-S1-P01-P02","A","P01","P02","mixed_transition_2","0.9971","0.0101","","","","0.7012111999999999","1.118000000000002","0.0"
"19.019","0.0","0.9167","0.4879","0.3333","0.0788","0.3182","0.0","0.25","0.2363","0.375","0.0316","0.4762","1.0","0.3333","0.9583","0.0","0.0909","0.1651","0.0313","0.0833","","0.5","0.1798","0.355","0.5396","0.0","0.5845","1.0","0.5446","0.0477","0.3265","G01-S1-P01-P02-A","G01-S1-P01-P02","A","P01","P02","mixed_transition_1","0.973","0.0698","","","","0.54322","2.1189999999999998","0.0"
"20.02","10.0","1.0","0.4888","0.3333","0.0842","0.6364","0.0","0.25","0.2324","0.3333","0.0316","0.4167","1.0","0.3333","1.0","0.0","0.0833","0.1537","-0.0122","0.0833","","0.5","0.1803","0.3958","0.5696","0.0","0.4214","1.0","0.5016","0.0444","0.3333","G01-S1-P01-P02-A","G01-S1-P01-P02","A","P01","P02","mixed_transition_1","0.977","0.0606","0.8999312853879049","0.014819984286874643","0.11488869889896969","0.5613","3.120000000000001","0.0"
"21.021","","1.0","0.5066","0.3636","0.0842","0.7","0.0","0.25","0.2346","0.3","0.036","0.3704","1.0","0.3333","0.9364","0.0","0.0833","0.1574","-0.0422","0.0833","","0.5","0.1856","0.3799","0.5562","0.0","0.2446","1.0","0.4214","0.0454","0.3206","G01-S1-P01-P02-A","G01-S1-P01-P02","A","P01","P02","mixed_transition_1","0.9754","0.0634","0.9339238706684381","0.04297564916736135","0.10905177849892334","0.553228","4.121000000000002","0.0"
"22.022","11.0","1.0","0.578","0.4545","0.1314","0.7","0.0","0.4","0.2418","0.3","0.036","0.7407","1.0","0.6667","0.8455","0.0","0.1667","0.1087","-0.0722","0.1667","","0.5","0.1882","0.378","0.554","0.0","0.1315","1.0","0.3812","0.0314","0.4158","G01-S1-P01-P02-A","G01-S1-P01-P02","A","P01","P02","p1_activation_lead","0.9823","0.0522","0.9260253393299553","0.017812417636130617","0.09178707830617527","0.5088248000000001","5.122","0.0"
"23.023","","0.9167","0.6132","0.5","0.1314","0.7778","0.0","0.4","0.2392","0.2727","0.036","0.6667","1.0","0.6667","0.7727","0.0","0.1818","0.114","-0.0824","0.1667","","0.5","0.1948","0.3333","0.5181","0.0","0.111","1.0","0.3552","0.0329","0.4042","G01-S1-P01-P02-A","G01-S1-P01-P02","A","P01","P02","p1_activation_lead","0.9997","0.0015","0.9114875273910117","0.0","0.08851247260898831","0.4868672","6.123000000000001","0.0"
"24.024","","0.9167","0.6591","0.6","0.4281","0.7778","0.0","0.3333","0.2199","0.2","0.0306","0.7407","1.0","1.0","0.6","0.0","0.1818","0.1371","-0.0767","0.1667","","0.5","0.2578","0.2938","0.4669","0.0","0.1314","1.0","0.3044","0.0396","0.423","G01-S1-P01-P02-A","G01-S1-P01-P02","A","P01","P02","p1_activation_lead","1.0","0.0","0.8666639030404907","0.0","0.13333609695950932","0.45614","7.124000000000002","0.0"
"25.025","","0.9167","0.6731","0.6","0.4766","0.7778","0.0","0.3333","0.2219","0.2222","0.03","0.8333","1.0","1.0","0.6222","0.0","0.1818","0.1379","-0.0572","0.1667","","0.5","0.271","0.2988","0.4667","0.0","0.1808","1.0","0.3283","0.0398","0.4275","G01-S1-P01-P02-A","G01-S1-P01-P02","A","P01","P02","p1_activation_lead","1.0","0.0","0.7504840587207522","0.0","0.2495159412792478","0.45602","8.125","0.0"
"26.026","10.0","0.9167","0.6883","0.7","0.4893","1.0","0.0","0.2857","0.2185","0.2","0.03","0.7407","1.0","1.0","0.5","0.0","0.1818","0.1628","-0.0407","0.1667","","0.5","0.2834","0.2708","0.4405","0.0","0.2398","1.0","0.3072","0.047","0.3935","G01-S1-P01-P02-A","G01-S1-P01-P02","A","P01","P02","p1_activation_lead","1.0","0.0","0.5972665244655038","0.0","0.40273347553449623","0.4403","7.683000000000003","0.0"
